requisicaoN;tempoHTTP
179;0.272477
180;0.250755
181;0.268525
182;0.260891
183;0.270285
184;0.274832
185;0.262568
186;0.272497
187;0.272387
188;0.276952
189;0.286094
190;0.280458
191;0.256168
192;0.267163
193;0.262231
194;0.278650
195;0.257779
196;0.269230
197;0.252371
198;0.255645
199;0.270769
200;0.253573
201;0.350775
202;0.273172
203;0.249527
204;0.355641
205;0.260932
206;0.265513
207;0.279485
208;0.262259
209;0.253536
210;0.270374
211;0.264770
212;0.278684
213;0.272410
214;0.274112
215;0.267059
216;0.274567
217;0.265600
218;0.255197
219;0.252582
220;0.271903
221;0.264765
222;0.258546
223;0.280289
224;0.270323
225;0.274317
226;0.269844
227;0.349665
228;0.282200
229;0.260779
230;0.293376
231;0.278581
232;0.277921
233;0.261415
234;0.266562
235;0.256810
236;0.267415
237;0.273297
238;0.281559
239;0.252368
240;0.251855
241;0.263581
242;0.260404
243;0.280017
244;0.261353
245;0.357704
246;0.276070
247;0.254198
248;0.258066
249;0.277565
250;0.248428
251;0.297880
252;0.269489
253;0.262373
254;0.261629
255;0.283169
256;0.288742
257;0.267074
258;0.263091
259;0.285734
260;0.276150
261;0.247366
262;0.259708
263;0.255339
264;0.292653
265;0.256120
266;0.263433
267;0.252289
268;0.261153
269;0.270210
270;0.250024
271;0.259376
272;0.360136
273;0.256465
274;0.279670
275;0.270076
276;0.271362
277;0.352588
278;0.279022
279;0.261613
280;0.271615
281;0.355299
282;0.268655
283;0.377211
284;0.271304
285;0.272867
286;0.284451
287;0.357055
288;0.273512
289;0.285318
290;0.273158
291;0.274364
292;0.281600
293;0.281459
294;0.257658
295;0.257779
296;0.268962
297;0.274556
298;0.256751
299;0.274357
300;0.287999
301;0.352327
302;0.268627
303;0.272408
304;0.343354
305;0.350769
306;0.250891
307;0.352426
308;0.286678
309;0.269778
310;0.264588
311;0.273612
312;0.257053
313;0.346444
314;0.285013
315;0.310148
316;0.356330
317;0.323830
318;0.261001
319;0.272183
320;0.250324
321;0.263253
322;0.269276
323;0.268269
324;0.276813
325;0.269468
326;0.262042
327;0.269416
328;0.282017
329;0.282944
330;0.273047
331;0.262087
332;0.280142
333;0.260667
334;0.277258
335;0.275314
336;0.261275
337;0.290591
338;0.273120
339;0.278567
340;0.290576
341;0.277853
342;0.283202
343;0.278380
344;0.266757
345;0.274431
346;0.351256
347;0.280676
348;0.282191
349;0.252509
350;0.382794
351;0.249327
352;0.274364
353;0.355776
354;0.275217
355;0.282197
356;0.256762
357;0.255761
358;0.264779
359;0.250563
360;0.256403
361;0.261620
362;0.258786
363;0.261391
364;0.281479
